Area,Category,Item,Description,Date,Orders,Type of Order
Neo Tokyo,Sides,Cosmic Rings,Onion rings with cosmic seasoning and intergalactic sauce.,2022-02-12,94,Online
Neo Tokyo,Drinks,XP Soda,A range of sodas in multiple epic flavors.,2022-03-16,180,Takeaway
Arcadia Bay,Drinks,XP Soda,A range of sodas in multiple epic flavors.,2022-09-15,85,Online
Neo Tokyo,Burgers,Pixel Pepperjack,"A spicy beef burger with pepperjack cheese, jalapeños, and pixelated salsa.",2022-02-22,93,Takeaway
Mystic Falls,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",2022-01-26,6,Takeaway
Cyber City,Burgers,Pixel Pepperjack,"A spicy beef burger with pepperjack cheese, jalapeños, and pixelated salsa.",2023-08-16,116,Dining
Cyber City,Drinks,XP Soda,A range of sodas in multiple epic flavors.,2021-11-15,157,Takeaway
Arcadia Bay,Drinks,XP Soda,A range of sodas in multiple epic flavors.,2023-04-08,77,Online
Elysium District,Sides,Supernova Sweet Potato Fries,Sweet and spicy sweet potato fries with starlight mayo.,2022-07-04,153,Takeaway
Mystic Falls,Drinks,Mana Milkshake,A blueberry milkshake that restores your energy.,2022-12-22,35,Dining
Cyber City,Sides,Cosmic Rings,Onion rings with cosmic seasoning and intergalactic sauce.,2022-01-10,16,Online
Arcadia Bay,Sides,Black Hole Fries,Fries with a dark garlic truffle sauce.,2023-08-28,140,Online
Elysium District,Desserts,Power Pellet Pops,Fruit-infused ice pops.,2021-11-19,172,Online
Mystic Falls,Sides,Power-Up Fries,Seasoned fries with power-up dips.,2023-08-11,159,Online
Neo Tokyo,Sides,Black Hole Fries,Fries with a dark garlic truffle sauce.,2022-12-19,22,Online
Elysium District,Sides,Quantum Fries,Seasoned fries with a secret spice blend.,2022-02-21,197,Online
Arcadia Bay,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,2023-02-28,146,Takeaway
Arcadia Bay,Drinks,Mana Milkshake,A blueberry milkshake that restores your energy.,2022-04-17,162,Takeaway
Neo Tokyo,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,2021-12-17,80,Takeaway
Elysium District,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,2023-09-07,90,Online
Neo Tokyo,Burgers,Next Level Veggie,"A plant-based patty with grilled eggplant, zucchini, goat cheese, and green herb sauce.",2023-08-02,15,Online
Mystic Falls,Burgers,Next Level Veggie,"A plant-based patty with grilled eggplant, zucchini, goat cheese, and green herb sauce.",2022-09-01,142,Takeaway
Neo Tokyo,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,2021-11-06,63,Online
Cyber City,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,2022-07-23,71,Takeaway
Neo Tokyo,Drinks,XP Soda,A range of sodas in multiple epic flavors.,2022-02-07,78,Dining
Cyber City,Burgers,Pixel Pepperjack,"A spicy beef burger with pepperjack cheese, jalapeños, and pixelated salsa.",2023-02-01,55,Dining
Mystic Falls,Burgers,Next Level Veggie,"A plant-based patty with grilled eggplant, zucchini, goat cheese, and green herb sauce.",2022-03-29,27,Dining
Mystic Falls,Sides,Cosmic Rings,Onion rings with cosmic seasoning and intergalactic sauce.,2022-09-25,186,Online
Neo Tokyo,Burgers,Next Level Veggie,"A plant-based patty with grilled eggplant, zucchini, goat cheese, and green herb sauce.",2023-01-30,41,Takeaway
Elysium District,Sides,Cosmic Rings,Onion rings with cosmic seasoning and intergalactic sauce.,2023-02-28,126,Takeaway
Mystic Falls,Burgers,Pixel Pepperjack,"A spicy beef burger with pepperjack cheese, jalapeños, and pixelated salsa.",2022-09-02,17,Dining
Mystic Falls,Sides,Black Hole Fries,Fries with a dark garlic truffle sauce.,2022-09-25,8,Online
Neo Tokyo,Burgers,Avatar Avocado,A chicken burger with creamy avocado spread and sun-dried tomato mayo.,2023-01-26,198,Dining
Elysium District,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,2022-06-13,145,Takeaway
Mystic Falls,Drinks,Mana Milkshake,A blueberry milkshake that restores your energy.,2023-02-25,133,Online
Arcadia Bay,Burgers,Stealth Mode Mushroom,A grilled portobello cap with smoked gouda and garlic aioli.,2023-01-01,61,Dining
Mystic Falls,Sides,Quantum Fries,Seasoned fries with a secret spice blend.,2022-08-21,73,Online
Arcadia Bay,Drinks,XP Soda,A range of sodas in multiple epic flavors.,2022-05-08,108,Takeaway
Arcadia Bay,Desserts,Cheat Code Cookies,Cookies with chocolate chips and candies.,2022-04-08,8,Dining
Mystic Falls,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,2023-04-11,152,Takeaway
Cyber City,Burgers,Retro Reuben,"Corned beef, sauerkraut, Swiss cheese, and thousand island dressing on a rye bun.",2022-03-17,193,Online
Mystic Falls,Desserts,Cheat Code Cookies,Cookies with chocolate chips and candies.,2023-05-30,72,Dining
Arcadia Bay,Burgers,Avatar Avocado,A chicken burger with creamy avocado spread and sun-dried tomato mayo.,2023-03-29,21,Takeaway
Cyber City,Drinks,XP Soda,A range of sodas in multiple epic flavors.,2023-08-12,18,Online
Neo Tokyo,Sides,Cosmic Rings,Onion rings with cosmic seasoning and intergalactic sauce.,2022-08-11,70,Dining
Cyber City,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,2022-01-24,82,Takeaway
Elysium District,Desserts,Power Pellet Pops,Fruit-infused ice pops.,2023-08-16,95,Online
Neo Tokyo,Burgers,Pixel Pepperjack,"A spicy beef burger with pepperjack cheese, jalapeños, and pixelated salsa.",2023-01-26,198,Dining
Elysium District,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",2022-06-28,162,Takeaway
Arcadia Bay,Sides,Power-Up Fries,Seasoned fries with power-up dips.,2023-03-02,9,Dining
Arcadia Bay,Desserts,Cheat Code Cookies,Cookies with chocolate chips and candies.,2023-09-20,96,Dining
Elysium District,Sides,Cosmic Rings,Onion rings with cosmic seasoning and intergalactic sauce.,2023-01-13,31,Online
Arcadia Bay,Burgers,Retro Reuben,"Corned beef, sauerkraut, Swiss cheese, and thousand island dressing on a rye bun.",2023-02-22,194,Dining
Arcadia Bay,Desserts,Power Pellet Pops,Fruit-infused ice pops.,2022-06-24,34,Online
Arcadia Bay,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",2022-03-04,106,Online
Mystic Falls,Drinks,XP Soda,A range of sodas in multiple epic flavors.,2022-05-25,170,Takeaway
Arcadia Bay,Desserts,Cheat Code Cookies,Cookies with chocolate chips and candies.,2022-05-07,41,Dining
Arcadia Bay,Desserts,Cheat Code Cookies,Cookies with chocolate chips and candies.,2023-04-27,133,Dining
Neo Tokyo,Drinks,XP Soda,A range of sodas in multiple epic flavors.,2023-04-29,166,Online
Cyber City,Burgers,Next Level Veggie,"A plant-based patty with grilled eggplant, zucchini, goat cheese, and green herb sauce.",2021-12-18,191,Dining
Neo Tokyo,Drinks,Mana Milkshake,A blueberry milkshake that restores your energy.,2022-03-06,135,Takeaway
Cyber City,Sides,Power-Up Fries,Seasoned fries with power-up dips.,2023-04-16,172,Dining
Elysium District,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",2022-09-07,70,Takeaway
Cyber City,Desserts,Cheat Code Cookies,Cookies with chocolate chips and candies.,2022-07-18,38,Takeaway
Mystic Falls,Burgers,Next Level Veggie,"A plant-based patty with grilled eggplant, zucchini, goat cheese, and green herb sauce.",2023-09-02,46,Takeaway
Cyber City,Burgers,Retro Reuben,"Corned beef, sauerkraut, Swiss cheese, and thousand island dressing on a rye bun.",2022-11-11,164,Takeaway
Mystic Falls,Drinks,XP Soda,A range of sodas in multiple epic flavors.,2022-11-12,41,Dining
Cyber City,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",2022-08-12,131,Online
Cyber City,Drinks,XP Soda,A range of sodas in multiple epic flavors.,2023-06-10,80,Online
Elysium District,Burgers,Pixel Pepperjack,"A spicy beef burger with pepperjack cheese, jalapeños, and pixelated salsa.",2021-11-21,123,Online
Cyber City,Desserts,Power Pellet Pops,Fruit-infused ice pops.,2022-07-28,16,Takeaway
Neo Tokyo,Sides,Byte-Size Tots,Crispy tater tots with cheat-code cheese sauce.,2021-12-10,161,Dining
Elysium District,Sides,Black Hole Fries,Fries with a dark garlic truffle sauce.,2023-06-11,68,Online
Arcadia Bay,Burgers,Next Level Veggie,"A plant-based patty with grilled eggplant, zucchini, goat cheese, and green herb sauce.",2022-01-25,68,Takeaway
Arcadia Bay,Drinks,Mana Milkshake,A blueberry milkshake that restores your energy.,2022-06-20,107,Takeaway
Arcadia Bay,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,2023-05-10,143,Takeaway
Cyber City,Burgers,Stealth Mode Mushroom,A grilled portobello cap with smoked gouda and garlic aioli.,2023-05-12,73,Dining
Mystic Falls,Drinks,Mana Milkshake,A blueberry milkshake that restores your energy.,2023-05-06,189,Dining
Neo Tokyo,Burgers,Epic Stack,"A double beef patty with epic layers of crispy bacon, melted cheddar, and our secret Epic Sauce.",2022-08-04,29,Takeaway
Cyber City,Burgers,Retro Reuben,"Corned beef, sauerkraut, Swiss cheese, and thousand island dressing on a rye bun.",2022-01-11,57,Takeaway
Neo Tokyo,Sides,Quantum Fries,Seasoned fries with a secret spice blend.,2022-08-18,59,Online
Elysium District,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,2022-03-10,61,Dining
Mystic Falls,Sides,Byte-Size Tots,Crispy tater tots with cheat-code cheese sauce.,2022-04-15,47,Takeaway
Cyber City,Drinks,XP Soda,A range of sodas in multiple epic flavors.,2023-08-19,116,Dining
Mystic Falls,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,2023-08-23,166,Takeaway
Elysium District,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,2022-08-13,162,Online
Elysium District,Burgers,Retro Reuben,"Corned beef, sauerkraut, Swiss cheese, and thousand island dressing on a rye bun.",2022-07-14,145,Dining
Elysium District,Sides,Byte-Size Tots,Crispy tater tots with cheat-code cheese sauce.,2023-01-17,195,Dining
Mystic Falls,Burgers,Avatar Avocado,A chicken burger with creamy avocado spread and sun-dried tomato mayo.,2023-07-11,182,Dining
Cyber City,Sides,Black Hole Fries,Fries with a dark garlic truffle sauce.,2023-09-10,129,Dining
Mystic Falls,Sides,Quantum Fries,Seasoned fries with a secret spice blend.,2022-10-22,186,Takeaway
Elysium District,Desserts,Power Pellet Pops,Fruit-infused ice pops.,2023-01-02,195,Dining
Neo Tokyo,Desserts,Power Pellet Pops,Fruit-infused ice pops.,2022-08-28,100,Online
Neo Tokyo,Burgers,Avatar Avocado,A chicken burger with creamy avocado spread and sun-dried tomato mayo.,2022-12-29,152,Online
Mystic Falls,Burgers,Next Level Veggie,"A plant-based patty with grilled eggplant, zucchini, goat cheese, and green herb sauce.",2022-06-14,104,Dining
Cyber City,Desserts,Cheat Code Cookies,Cookies with chocolate chips and candies.,2021-12-11,13,Dining
Neo Tokyo,Drinks,XP Soda,A range of sodas in multiple epic flavors.,2022-10-26,126,Online
Elysium District,Sides,Byte-Size Tots,Crispy tater tots with cheat-code cheese sauce.,2023-03-25,27,Online
Cyber City,Desserts,Cheat Code Cookies,Cookies with chocolate chips and candies.,2022-09-27,113,Dining
Mystic Falls,Burgers,Stealth Mode Mushroom,A grilled portobello cap with smoked gouda and garlic aioli.,2023-04-17,84,Takeaway
Cyber City,Sides,Byte-Size Tots,Crispy tater tots with cheat-code cheese sauce.,2021-11-23,43,Takeaway
Elysium District,Sides,Power-Up Fries,Seasoned fries with power-up dips.,2023-06-04,132,Online
Elysium District,Burgers,Stealth Mode Mushroom,A grilled portobello cap with smoked gouda and garlic aioli.,2023-01-25,151,Dining
Arcadia Bay,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",2023-09-19,11,Takeaway
Cyber City,Sides,Power-Up Fries,Seasoned fries with power-up dips.,2021-11-15,195,Online
Elysium District,Burgers,Next Level Veggie,"A plant-based patty with grilled eggplant, zucchini, goat cheese, and green herb sauce.",2023-10-29,83,Dining
Neo Tokyo,Burgers,Stealth Mode Mushroom,A grilled portobello cap with smoked gouda and garlic aioli.,2022-09-11,51,Takeaway
Neo Tokyo,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",2023-04-14,71,Takeaway
Arcadia Bay,Desserts,Power Pellet Pops,Fruit-infused ice pops.,2022-05-03,35,Dining
Mystic Falls,Burgers,Epic Stack,"A double beef patty with epic layers of crispy bacon, melted cheddar, and our secret Epic Sauce.",2022-02-11,46,Dining
Mystic Falls,Drinks,Mana Milkshake,A blueberry milkshake that restores your energy.,2023-08-23,87,Dining
Mystic Falls,Burgers,Retro Reuben,"Corned beef, sauerkraut, Swiss cheese, and thousand island dressing on a rye bun.",2023-02-17,26,Online
Neo Tokyo,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",2023-08-16,43,Online
Mystic Falls,Burgers,Retro Reuben,"Corned beef, sauerkraut, Swiss cheese, and thousand island dressing on a rye bun.",2023-08-21,66,Online
Arcadia Bay,Burgers,Epic Stack,"A double beef patty with epic layers of crispy bacon, melted cheddar, and our secret Epic Sauce.",2023-09-24,97,Dining
Arcadia Bay,Sides,Byte-Size Tots,Crispy tater tots with cheat-code cheese sauce.,2023-01-25,6,Dining
Arcadia Bay,Desserts,Cheat Code Cookies,Cookies with chocolate chips and candies.,2022-01-03,75,Dining
Cyber City,Burgers,Pixel Pepperjack,"A spicy beef burger with pepperjack cheese, jalapeños, and pixelated salsa.",2022-04-27,138,Takeaway
Elysium District,Burgers,Pixel Pepperjack,"A spicy beef burger with pepperjack cheese, jalapeños, and pixelated salsa.",2023-03-07,180,Online
Cyber City,Desserts,Cheat Code Cookies,Cookies with chocolate chips and candies.,2022-06-21,85,Dining
Neo Tokyo,Sides,Black Hole Fries,Fries with a dark garlic truffle sauce.,2022-10-20,152,Online
Neo Tokyo,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,2023-10-29,107,Dining
Cyber City,Drinks,XP Soda,A range of sodas in multiple epic flavors.,2022-08-06,63,Takeaway
Arcadia Bay,Burgers,Next Level Veggie,"A plant-based patty with grilled eggplant, zucchini, goat cheese, and green herb sauce.",2022-06-03,65,Dining
Cyber City,Burgers,Retro Reuben,"Corned beef, sauerkraut, Swiss cheese, and thousand island dressing on a rye bun.",2022-09-20,29,Takeaway
Mystic Falls,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,2023-05-26,37,Online
Arcadia Bay,Burgers,Retro Reuben,"Corned beef, sauerkraut, Swiss cheese, and thousand island dressing on a rye bun.",2023-09-24,141,Takeaway
Mystic Falls,Drinks,XP Soda,A range of sodas in multiple epic flavors.,2022-04-23,169,Dining
Cyber City,Burgers,Avatar Avocado,A chicken burger with creamy avocado spread and sun-dried tomato mayo.,2021-12-14,94,Online
Mystic Falls,Sides,Quantum Fries,Seasoned fries with a secret spice blend.,2023-07-25,30,Online
Arcadia Bay,Burgers,Next Level Veggie,"A plant-based patty with grilled eggplant, zucchini, goat cheese, and green herb sauce.",2023-07-20,8,Dining
Cyber City,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,2022-04-16,139,Takeaway
Elysium District,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,2023-04-11,21,Takeaway
Arcadia Bay,Drinks,Mana Milkshake,A blueberry milkshake that restores your energy.,2023-07-21,17,Online
Cyber City,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",2022-06-22,10,Dining
Arcadia Bay,Burgers,Stealth Mode Mushroom,A grilled portobello cap with smoked gouda and garlic aioli.,2023-04-17,83,Takeaway
Arcadia Bay,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",2022-01-10,47,Takeaway
Mystic Falls,Drinks,XP Soda,A range of sodas in multiple epic flavors.,2023-05-29,39,Online
Cyber City,Desserts,Cheat Code Cookies,Cookies with chocolate chips and candies.,2021-11-02,157,Online
Elysium District,Sides,Quantum Fries,Seasoned fries with a secret spice blend.,2023-07-17,128,Takeaway
Mystic Falls,Desserts,Cheat Code Cookies,Cookies with chocolate chips and candies.,2023-05-31,157,Dining
Arcadia Bay,Desserts,Cheat Code Cookies,Cookies with chocolate chips and candies.,2022-07-09,51,Dining
Neo Tokyo,Sides,Quantum Fries,Seasoned fries with a secret spice blend.,2022-09-28,61,Takeaway
Neo Tokyo,Sides,Quantum Fries,Seasoned fries with a secret spice blend.,2022-05-02,179,Takeaway
Cyber City,Desserts,Power Pellet Pops,Fruit-infused ice pops.,2023-08-07,114,Online
Cyber City,Burgers,Pixel Pepperjack,"A spicy beef burger with pepperjack cheese, jalapeños, and pixelated salsa.",2022-12-08,178,Online
Arcadia Bay,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,2023-05-12,118,Online
Mystic Falls,Drinks,Mana Milkshake,A blueberry milkshake that restores your energy.,2023-10-07,118,Dining
Arcadia Bay,Sides,Black Hole Fries,Fries with a dark garlic truffle sauce.,2023-04-09,18,Dining
Elysium District,Sides,Cosmic Rings,Onion rings with cosmic seasoning and intergalactic sauce.,2022-01-17,174,Dining
Neo Tokyo,Drinks,XP Soda,A range of sodas in multiple epic flavors.,2023-08-31,71,Dining
Arcadia Bay,Sides,Power-Up Fries,Seasoned fries with power-up dips.,2022-08-03,104,Takeaway
Mystic Falls,Burgers,Retro Reuben,"Corned beef, sauerkraut, Swiss cheese, and thousand island dressing on a rye bun.",2023-04-20,39,Dining
Neo Tokyo,Sides,Power-Up Fries,Seasoned fries with power-up dips.,2021-12-20,176,Takeaway
Mystic Falls,Burgers,Next Level Veggie,"A plant-based patty with grilled eggplant, zucchini, goat cheese, and green herb sauce.",2023-08-10,173,Takeaway
Elysium District,Desserts,Cheat Code Cookies,Cookies with chocolate chips and candies.,2022-02-03,37,Takeaway
Cyber City,Sides,Black Hole Fries,Fries with a dark garlic truffle sauce.,2023-07-11,159,Dining
Mystic Falls,Desserts,Cheat Code Cookies,Cookies with chocolate chips and candies.,2023-09-26,176,Takeaway
Arcadia Bay,Desserts,Cheat Code Cookies,Cookies with chocolate chips and candies.,2021-11-10,8,Dining
Arcadia Bay,Burgers,Next Level Veggie,"A plant-based patty with grilled eggplant, zucchini, goat cheese, and green herb sauce.",2021-11-12,20,Dining
Elysium District,Sides,Black Hole Fries,Fries with a dark garlic truffle sauce.,2023-10-18,30,Takeaway
Neo Tokyo,Desserts,Power Pellet Pops,Fruit-infused ice pops.,2021-12-04,199,Dining
Mystic Falls,Desserts,Power Pellet Pops,Fruit-infused ice pops.,2022-07-11,117,Online
Mystic Falls,Drinks,XP Soda,A range of sodas in multiple epic flavors.,2022-03-29,98,Takeaway
Neo Tokyo,Sides,Black Hole Fries,Fries with a dark garlic truffle sauce.,2022-12-22,87,Dining
Arcadia Bay,Sides,Power-Up Fries,Seasoned fries with power-up dips.,2023-07-08,13,Dining
Arcadia Bay,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",2022-11-03,191,Dining
Cyber City,Sides,Byte-Size Tots,Crispy tater tots with cheat-code cheese sauce.,2022-10-16,93,Takeaway
Neo Tokyo,Sides,Byte-Size Tots,Crispy tater tots with cheat-code cheese sauce.,2023-10-18,33,Online
Cyber City,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",2023-07-04,129,Dining
Arcadia Bay,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",2023-05-28,20,Dining
Arcadia Bay,Burgers,Next Level Veggie,"A plant-based patty with grilled eggplant, zucchini, goat cheese, and green herb sauce.",2023-05-23,123,Takeaway
Arcadia Bay,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",2023-03-01,33,Dining
Cyber City,Burgers,Retro Reuben,"Corned beef, sauerkraut, Swiss cheese, and thousand island dressing on a rye bun.",2022-04-12,188,Dining
Neo Tokyo,Desserts,Power Pellet Pops,Fruit-infused ice pops.,2022-07-30,111,Online
Arcadia Bay,Sides,Cosmic Rings,Onion rings with cosmic seasoning and intergalactic sauce.,2022-03-16,189,Dining
Neo Tokyo,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",2023-05-11,23,Online
Mystic Falls,Drinks,XP Soda,A range of sodas in multiple epic flavors.,2023-03-03,12,Takeaway
Cyber City,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",2022-10-16,12,Online
Neo Tokyo,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",2023-05-16,38,Takeaway
Cyber City,Sides,Supernova Sweet Potato Fries,Sweet and spicy sweet potato fries with starlight mayo.,2023-05-21,68,Online
Arcadia Bay,Sides,Cosmic Rings,Onion rings with cosmic seasoning and intergalactic sauce.,2022-03-27,164,Online
Arcadia Bay,Burgers,Retro Reuben,"Corned beef, sauerkraut, Swiss cheese, and thousand island dressing on a rye bun.",2022-01-22,92,Takeaway
Arcadia Bay,Sides,Black Hole Fries,Fries with a dark garlic truffle sauce.,2023-06-24,168,Online
Mystic Falls,Sides,Quantum Fries,Seasoned fries with a secret spice blend.,2022-05-11,46,Online
Cyber City,Drinks,Mana Milkshake,A blueberry milkshake that restores your energy.,2022-05-20,158,Takeaway
Elysium District,Drinks,XP Soda,A range of sodas in multiple epic flavors.,2021-11-13,149,Takeaway
Neo Tokyo,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",2023-03-12,143,Online
Arcadia Bay,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",2023-07-10,160,Dining
Mystic Falls,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,2022-04-09,69,Online
Mystic Falls,Burgers,Epic Stack,"A double beef patty with epic layers of crispy bacon, melted cheddar, and our secret Epic Sauce.",2023-02-10,98,Online
Elysium District,Sides,Byte-Size Tots,Crispy tater tots with cheat-code cheese sauce.,2022-01-22,51,Takeaway
Cyber City,Sides,Quantum Fries,Seasoned fries with a secret spice blend.,2022-08-31,112,Online
Mystic Falls,Desserts,Power Pellet Pops,Fruit-infused ice pops.,2023-02-08,84,Takeaway
Cyber City,Sides,Black Hole Fries,Fries with a dark garlic truffle sauce.,2023-08-11,175,Online
Cyber City,Drinks,Mana Milkshake,A blueberry milkshake that restores your energy.,2023-08-20,55,Online
Cyber City,Desserts,Cheat Code Cookies,Cookies with chocolate chips and candies.,2021-12-25,131,Online
Elysium District,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,2022-09-13,2,Dining
Neo Tokyo,Sides,Supernova Sweet Potato Fries,Sweet and spicy sweet potato fries with starlight mayo.,2022-07-09,100,Dining
Cyber City,Sides,Black Hole Fries,Fries with a dark garlic truffle sauce.,2023-06-20,195,Online
Mystic Falls,Drinks,XP Soda,A range of sodas in multiple epic flavors.,2023-09-09,91,Online
Cyber City,Drinks,XP Soda,A range of sodas in multiple epic flavors.,2021-11-25,98,Dining
Arcadia Bay,Burgers,Next Level Veggie,"A plant-based patty with grilled eggplant, zucchini, goat cheese, and green herb sauce.",2023-08-24,180,Online
Mystic Falls,Desserts,Cheat Code Cookies,Cookies with chocolate chips and candies.,2022-01-13,60,Online
Mystic Falls,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,2023-01-11,11,Online
Mystic Falls,Burgers,Epic Stack,"A double beef patty with epic layers of crispy bacon, melted cheddar, and our secret Epic Sauce.",2022-04-18,125,Takeaway
Cyber City,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,2021-11-17,20,Online
Neo Tokyo,Sides,Byte-Size Tots,Crispy tater tots with cheat-code cheese sauce.,2022-07-08,179,Dining
Cyber City,Burgers,Retro Reuben,"Corned beef, sauerkraut, Swiss cheese, and thousand island dressing on a rye bun.",2022-04-15,113,Online
Mystic Falls,Burgers,Avatar Avocado,A chicken burger with creamy avocado spread and sun-dried tomato mayo.,2022-06-01,146,Takeaway
Elysium District,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",2023-08-28,128,Takeaway
Cyber City,Burgers,Retro Reuben,"Corned beef, sauerkraut, Swiss cheese, and thousand island dressing on a rye bun.",2023-07-06,128,Dining
Mystic Falls,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",2022-05-11,79,Dining
Cyber City,Burgers,Next Level Veggie,"A plant-based patty with grilled eggplant, zucchini, goat cheese, and green herb sauce.",2022-11-02,112,Dining
Neo Tokyo,Drinks,Mana Milkshake,A blueberry milkshake that restores your energy.,2023-05-12,149,Dining
Arcadia Bay,Sides,Black Hole Fries,Fries with a dark garlic truffle sauce.,2022-11-09,166,Online
Elysium District,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",2022-02-05,42,Takeaway
Elysium District,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",2023-07-07,164,Takeaway
Cyber City,Desserts,Cheat Code Cookies,Cookies with chocolate chips and candies.,2023-09-28,189,Dining
Cyber City,Sides,Supernova Sweet Potato Fries,Sweet and spicy sweet potato fries with starlight mayo.,2023-06-05,147,Takeaway
Neo Tokyo,Burgers,Avatar Avocado,A chicken burger with creamy avocado spread and sun-dried tomato mayo.,2022-04-27,153,Dining
Cyber City,Sides,Power-Up Fries,Seasoned fries with power-up dips.,2023-10-10,197,Dining
Arcadia Bay,Burgers,Next Level Veggie,"A plant-based patty with grilled eggplant, zucchini, goat cheese, and green herb sauce.",2022-05-24,135,Dining
Cyber City,Desserts,Cheat Code Cookies,Cookies with chocolate chips and candies.,2022-04-04,197,Online
Elysium District,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,2023-04-14,113,Takeaway
Arcadia Bay,Drinks,XP Soda,A range of sodas in multiple epic flavors.,2023-08-28,117,Dining
Arcadia Bay,Sides,Power-Up Fries,Seasoned fries with power-up dips.,2023-08-09,3,Takeaway
Elysium District,Sides,Byte-Size Tots,Crispy tater tots with cheat-code cheese sauce.,2022-01-15,166,Dining
Neo Tokyo,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,2022-06-17,88,Online
Cyber City,Burgers,Pixel Pepperjack,"A spicy beef burger with pepperjack cheese, jalapeños, and pixelated salsa.",2022-08-07,138,Dining
Cyber City,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",2021-11-11,33,Online
Elysium District,Burgers,Pixel Pepperjack,"A spicy beef burger with pepperjack cheese, jalapeños, and pixelated salsa.",2022-02-01,198,Online
Neo Tokyo,Burgers,Pixel Pepperjack,"A spicy beef burger with pepperjack cheese, jalapeños, and pixelated salsa.",2023-04-19,40,Online
Mystic Falls,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",2022-02-24,191,Dining
Neo Tokyo,Burgers,Pixel Pepperjack,"A spicy beef burger with pepperjack cheese, jalapeños, and pixelated salsa.",2022-05-26,173,Dining
Arcadia Bay,Burgers,Next Level Veggie,"A plant-based patty with grilled eggplant, zucchini, goat cheese, and green herb sauce.",2023-04-07,127,Takeaway
Arcadia Bay,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,2022-01-17,117,Takeaway
Cyber City,Sides,Black Hole Fries,Fries with a dark garlic truffle sauce.,2022-02-20,67,Dining
Arcadia Bay,Burgers,Next Level Veggie,"A plant-based patty with grilled eggplant, zucchini, goat cheese, and green herb sauce.",2022-11-19,130,Online
